room_id,price,included,area,city,street,details,time of extraction
2208519, 650,Incl. vaste lasten,17 m², Tilburg,Simpelveldstraat,"['Geen woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', '4 huisgenoten', 'Gemixte huisgenoten', 'Geen huisdieren toegestaan']",1710936868
2139452, 425,Incl. vaste lasten,18 m², Wageningen,Ambachtstraat,"['Gedeelde woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Energielabel A', '3 huisgenoten', 'Mannelijke huisgenoten', 'Geen huisdieren toegestaan']",1710936870
2208500, 700,Incl. vaste lasten,10 m², Amsterdam,Ochtenhof,"['Geen woonkamer', 'Geen keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Onbekend energielabel', '1 huisgenoten', 'Mannelijke huisgenoten', 'Geen huisdieren toegestaan']",1710936871
2208477, 550,Incl. vaste lasten,9 m², Zwolle,Ruysdaelstraat,"['Gedeelde woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Onbekend energielabel', '1 huisgenoten', 'Mannelijke huisgenoten', 'Geen huisdieren toegestaan']",1710936873
2208490, 595,Incl. vaste lasten,18 m², Den Bosch,Commissaris De Quaylaan,"['Gedeelde woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Energielabel B', '4 huisgenoten', 'Mannelijke huisgenoten', 'Geen huisdieren toegestaan']",1710936875
2208476, 600,Incl. vaste lasten,16 m², Amsterdam,Marconistraat,"['Geen woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Energielabel C', '4 huisgenoten', 'Gemixte huisgenoten', 'Geen huisdieren toegestaan']",1710936876
2208474, 650,Incl. vaste lasten,15 m², Groningen,Spaanse Aakstraat,"['Geen woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Energielabel C', '2 huisgenoten', 'Gemixte huisgenoten', 'Geen huisdieren toegestaan']",1710936878
2203234, 320,Incl. vaste lasten,7 m², Enschede,Bultsweg,"['Gedeelde woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Onbekend energielabel', '4 huisgenoten', 'Gemixte huisgenoten', 'Geen huisdieren toegestaan']",1710936879
2210296, 290,Incl. vaste lasten,10 m², Heerlen,Meezenbroekerweg,"['Geen woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet tegen extra kosten', 'Onbekend energielabel', '5 huisgenoten', 'Mannelijke huisgenoten', 'Geen huisdieren toegestaan']",1710936880
2210068, 800,Excl. vaste lasten,50 m², Huizen,Want,"['Privé woonkamer', 'Privé keuken', 'Privé badkamer', 'Privé toilet', 'Internet beschikbaar', 'Onbekend energielabel', 'Geen huisdieren toegestaan']",1710936881
2204708, 425,Incl. vaste lasten,20 m², Enschede,Haarlebrink,"['Geen woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Energielabel B', '3 huisgenoten', 'Vrouwelijke huisgenoten', 'Geen huisdieren toegestaan']",1710936881
2209470, 400,Incl. vaste lasten,17 m², Hengelo,J.C. Bloemstraat,"['Gedeelde woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Energielabel B', '3 huisgenoten', 'Mannelijke huisgenoten', 'Geen huisdieren toegestaan']",1710936882
2203897, 1.000,Incl. vaste lasten,25 m², Utrecht,Stanleylaan,"['Privé woonkamer', 'Privé keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Onbekend energielabel', '4 huisgenoten', 'Gemixte huisgenoten', 'Geen huisdieren toegestaan']",1710936884
2209178, 652,Incl. vaste lasten,23 m², Heemskerk,Kerklaan,"['Privé woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Energielabel B', 'Meer dan 8 huisgenoten', 'Gemixte huisgenoten', 'Geen huisdieren toegestaan']",1710936885
2098922, 800,Incl. vaste lasten,12 m², Almere,Presidentstraat,"['Gedeelde woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', '3 huisgenoten', 'Gemixte huisgenoten', 'Huisdieren toegestaan']",1710936889
2208677, 400,Incl. vaste lasten,12 m², Eindhoven,Kreeftstraat,"['Gedeelde woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Onbekend energielabel', '2 huisgenoten', 'Mannelijke huisgenoten', 'Geen huisdieren toegestaan']",1710936890
2208663, 600,Incl. vaste lasten,15 m², Amsterdam,Boris Pasternakstraat,"['Geen woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Energielabel B', '1 huisgenoten', 'Geen huisdieren toegestaan']",1710936891
2208658, 466,Excl. vaste lasten,18 m², Groningen,Bankastraat,"['Gedeelde woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Onbekend energielabel', '3 huisgenoten', 'Mannelijke huisgenoten', 'Geen huisdieren toegestaan']",1710936892
2208625, 690,Incl. vaste lasten,10 m², Rotterdam,Nieuwe Binnenweg,"['Gedeelde woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Onbekend energielabel', '4 huisgenoten', 'Mannelijke huisgenoten', 'Geen huisdieren toegestaan']",1710936893
2208488, 425,Incl. vaste lasten,16 m², Enschede,Paulus Moreelsestraat,"['Gedeelde woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Onbekend energielabel', '5 huisgenoten', 'Gemixte huisgenoten', 'Geen huisdieren toegestaan']",1710936896
2208592, 350,Incl. vaste lasten,12 m², Enschede,Wethouder Nijhuisstraat,"['Gedeelde woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Onbekend energielabel', '3 huisgenoten', 'Mannelijke huisgenoten', 'Geen huisdieren toegestaan']",1710936897
2208587, 635,Incl. vaste lasten,31 m², Arnhem,Leoninusstraat,"['Privé woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet tegen extra kosten', 'Onbekend energielabel', '3 huisgenoten', 'Vrouwelijke huisgenoten', 'Geen huisdieren toegestaan']",1710936899
2208571, 600,Excl. vaste lasten,8 m², Rotterdam,Admiraliteitsstraat,"['Gedeelde woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Energielabel B', '2 huisgenoten', 'Gemixte huisgenoten', 'Geen huisdieren toegestaan']",1710936901
2208542, 400,Incl. vaste lasten,13 m², Nijmegen,St. Jacobslaan,"['Geen woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Onbekend energielabel', '3 huisgenoten', 'Vrouwelijke huisgenoten', 'Geen huisdieren toegestaan']",1710936902
2208541, 690,Incl. vaste lasten,30 m², Rotterdam,Jef Laststraat,"['Gedeelde woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Energielabel A', '2 huisgenoten', 'Vrouwelijke huisgenoten', 'Geen huisdieren toegestaan']",1710936903
2208531, 680,Incl. vaste lasten,18 m², Eindhoven,Juliusstraat,"['Gedeelde woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Onbekend energielabel', 'Geen huisdieren toegestaan']",1710936904
2208507,â‚¬Â 360,Incl. vaste lasten,8 mÂ², Enschede,Oostveenweg,"['Gedeelde woonkamer', 'Gedeelde keuken', 'Gedeelde badkamer', 'Gedeeld toilet', 'Internet beschikbaar', 'Onbekend energielabel', '4 huisgenoten', 'Vrouwelijke huisgenoten', 'Geen huisdieren toegestaan']",1710936908
